City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Inhambane,MZ,74.95,clear sky,-23.865,35.3833,Oceano
452,Machiques,VE,88.2,broken clouds,10.0644,-72.545,hotel el markes
455,Majene,ID,77.88,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
456,Anloga,GH,81.73,broken clouds,5.7947,0.8973,Pin Drop Hotel
457,Jeremie,HT,77.18,scattered clouds,18.65,-74.1167,Auberge’Inn
460,Nioro,GM,84.09,clear sky,13.35,-15.75,
461,Roebourne,AU,80.55,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
464,Barabai,ID,73.54,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
465,Latung,PH,80.62,overcast clouds,5.5,120.8833,
467,Bowen,AU,82.78,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
473,Manta,EC,78.85,broken clouds,-0.95,-80.7333,Balandra Hotel
474,Salalah,OM,71.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
475,Buala,SB,83.93,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
476,Sao Joao Da Barra,BR,77.27,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
477,Vaitape,PF,75.16,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
478,Pangai,TO,81.88,light rain,-19.8,-174.35,Ha'apai Beach Resort
480,Padang,ID,75.27,overcast clouds,-0.9492,100.3543,Mercure Padang
482,Port Lavaca,US,75.31,scattered clouds,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
484,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
488,Porto Belo,BR,84.16,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
489,Bima,ID,75.78,heavy intensity rain,-8.4667,118.7167,Lambitu Hotel
490,Oistins,BB,77.61,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
492,Saint-Leu,RE,79.66,broken clouds,-21.15,55.2833,La Caz Oceane
493,Illapel,CL,72.66,clear sky,-31.6308,-71.1653,Hotel Londres
495,Luanda,AO,74.46,scattered clouds,-8.8368,13.2343,Hotel Fórum
496,Atambua,ID,72.63,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
497,Cockburn Town,TC,76.73,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
502,Jiwani,PK,71.01,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
503,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
508,Vicuna,CL,81.77,clear sky,-30.0319,-70.7081,Los Mosaicos
511,Cabedelo,BR,81.18,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
515,Hobyo,SO,77.02,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
518,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
522,Pedernales,DO,79.36,clear sky,18.0384,-71.744,Hotel Costa Marina
523,Port-Gentil,GA,79.12,overcast clouds,-0.7193,8.7815,Fengshui Residence
525,Jerantut,MY,71.51,overcast clouds,3.936,102.3626,Jerantut Hill Resort
531,Bandarbeyla,SO,76.23,scattered clouds,9.4942,50.8122,JABIR HOTEL
533,Gonaives,HT,78.78,broken clouds,19.45,-72.6833,Vertières Doux Séjour
534,Tecoanapa,MX,81.07,overcast clouds,16.5167,-98.75,Hotel Manglares
537,Namatanai,PG,82.6,light rain,-3.6667,152.4333,Seagulls Inn Namatani
539,Piacabucu,BR,78.91,clear sky,-10.4056,-36.4344,Piaçabuçu News
541,Cururupu,BR,76.44,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
542,Sri Aman,MY,71.56,light rain,1.2376,111.4621,Seri Simanggang Hotel
544,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
545,Sao Tome,ST,79.25,overcast clouds,0.3365,6.7273,Pestana Miramar São Tomé
546,Marataizes,BR,77.09,clear sky,-21.0433,-40.8244,Ed. Barra Shopping
549,San Policarpo,PH,77.95,moderate rain,12.1791,125.5072,Agapita M. Nicart
551,San Juan Bautista,PE,72.23,broken clouds,-14.0108,-75.7358,Hotel Las Dunas
552,San Vicente De Canete,PE,74.93,scattered clouds,-13.0751,-76.3835,Hotel Konford
553,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
556,Beira,MZ,78.85,clear sky,-19.8436,34.8389,Beira Terrace Hotel
559,Tomatlan,MX,82.09,overcast clouds,19.9333,-105.25,El Salvial
562,Thinadhoo,MV,82.49,overcast clouds,0.5333,72.9333,
565,Domoni,KM,81.25,light rain,-12.2569,44.5319,Al Djadid
570,Edd,ER,76.42,broken clouds,13.9297,41.6925,
573,Santa Isabel,BR,78.58,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
577,Pitogo,PH,74.35,overcast clouds,13.7847,122.0881,Ricronald
584,Tete,MZ,74.37,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
585,Lisala,CD,70.75,broken clouds,2.15,21.5167,Flat hôtel tozelaka
588,Srandakan,ID,75.27,overcast clouds,-7.9386,110.2506,Puri Brata
589,Maceio,BR,80.04,few clouds,-9.6658,-35.7353,Poutur Pousada
594,Tucdao,PH,75.94,overcast clouds,11.7011,124.4719,Buho Resort
595,Dagana,MR,80.78,clear sky,16.5165,-15.5068,Quartier Dille koumba fatim thiam
597,Conceicao Do Araguaia,BR,73.42,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
599,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
601,Kendari,ID,74.95,overcast clouds,-3.945,122.4989,Hotel Wixel
603,Alofi,NU,84.09,light intensity drizzle,-19.0595,-169.9187,Taloa Heights
609,Reforma,MX,79.63,clear sky,18.1,-91.0167,
621,Upington,ZA,80.94,overcast clouds,-28.4478,21.2561,River Place Manor
625,Guarapari,BR,80.49,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
627,Bacolod,PH,75.63,overcast clouds,10.6667,122.95,Planta Hotel & Residences
629,Mananjary,MG,75.45,overcast clouds,-21.2167,48.3333,Vahiny Lodge
630,Waingapu,ID,76.33,light rain,-9.6567,120.2641,Pondok Wisata Elim
635,Pedro Betancourt,CU,72.14,broken clouds,22.7272,-81.29,
638,Eyl,SO,75.52,scattered clouds,7.9803,49.8164,Amiin Hotel
640,Quatre Cocos,MU,81.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
645,Puerto Quijarro,BO,89.78,broken clouds,-17.7833,-57.7667,Hotel palance
649,Kavaratti,IN,80.78,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
650,Harper,LR,79.11,few clouds,4.375,-7.7169,Screensaver
651,Kulhudhuffushi,MV,80.85,overcast clouds,6.6221,73.07,Haajy Guest House 1
654,Macapa,BR,82.38,broken clouds,0.0389,-51.0664,Atalanta Hotel
655,Kyabe,TD,72.43,clear sky,9.4515,18.9449,
656,Gambela,ET,76.59,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
658,Assare,BR,78.6,scattered clouds,-6.8744,-39.875,José Xavier de Andrade
661,San Cristobal,VE,76.5,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
670,Petit Goave,HT,82.58,scattered clouds,18.4314,-72.8669,Imperial Suite International
674,Yenagoa,NG,76.77,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
678,Kokopo,PG,80.37,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
682,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
683,Acarau,BR,81.0,few clouds,-2.8856,-40.12,castelo pizzaria
684,Supe,PE,74.5,overcast clouds,-10.8,-77.7333,Hotel Mavars
691,Dhidhdhoo,MV,80.76,broken clouds,6.8833,73.1,Dhidhoo beach
693,Atar,MR,71.49,scattered clouds,20.5169,-13.0499,Oumou Elghoura
