City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Bambous Virieux,MU,2022-01-16 21:42:27,-20.3428,57.7575,78.22,88,75,5.75
204,Mayumba,GA,2022-01-16 21:51:46,-3.432,10.6554,76.96,88,100,4.85
205,Shahreza,IR,2022-01-16 21:51:47,32.0339,51.8794,32.74,52,0,5.68
206,Souillac,MU,2022-01-16 21:51:47,-20.5167,57.5167,78.37,88,75,5.75
207,Yershov,RU,2022-01-16 21:51:47,51.3513,48.2766,7.59,97,50,7.11
208,Key West,US,2022-01-16 21:51:48,24.5557,-81.7826,73.4,76,100,19.57
209,Wrexham,GB,2022-01-16 21:51:49,53.0,-3.0,44.96,86,8,9.84
210,Araouane,ML,2022-01-16 21:51:49,18.9048,-3.5265,59.79,19,96,10.71
211,Sechura,PE,2022-01-16 21:51:50,-5.5569,-80.8222,78.93,62,30,20.24
212,Viedma,AR,2022-01-16 21:51:50,-40.8135,-62.9967,67.95,24,1,13.02
213,Oktyabrskiy,RU,2022-01-16 21:51:51,54.4815,53.471,9.32,95,93,8.46
214,El Alto,PE,2022-01-16 21:51:51,-4.2714,-81.2147,76.66,75,43,16.96
215,Malanje,AO,2022-01-16 21:51:52,-9.5402,16.341,60.64,86,10,3.58
216,Ponta Do Sol,PT,2022-01-16 21:51:53,32.6667,-17.1,65.03,62,84,18.48
217,Qaanaaq,GL,2022-01-16 21:51:53,77.484,-69.3632,-7.47,61,0,8.28
218,Riyadh,SA,2022-01-16 21:50:45,24.6877,46.7219,57.34,29,0,4.9
219,Laguna,US,2022-01-16 21:51:54,38.421,-121.4238,67.84,67,0,1.01
220,Avera,US,2022-01-16 21:51:55,33.194,-82.5271,45.91,90,96,14.14
221,Kostomuksha,RU,2022-01-16 21:51:55,64.571,30.5767,25.86,81,100,17.18
222,Thompson,CA,2022-01-16 21:51:56,55.7435,-97.8558,-5.64,71,100,9.22
223,Maridi,SS,2022-01-16 21:51:56,4.9158,29.4742,74.84,70,100,8.9
224,Carnarvon,AU,2022-01-16 21:51:56,-24.8667,113.6333,71.67,88,100,20.71
225,Ambilobe,MG,2022-01-16 21:51:57,-13.2,49.05,76.77,92,98,2.28
226,Mayor Pablo Lagerenza,PY,2022-01-16 21:51:57,-19.9309,-60.7718,98.42,27,6,14.36
227,Lobito,AO,2022-01-16 21:51:57,-12.3481,13.5456,74.68,82,49,6.73
228,Lelydorp,SR,2022-01-16 21:51:58,5.7,-55.2333,82.33,78,40,13.8
229,Lokomotivnyy,RU,2022-01-16 21:52:59,53.0118,60.5684,8.06,87,96,17.45
230,Narsaq,GL,2022-01-16 21:44:14,60.9167,-46.05,39.42,84,100,7.78
231,Hirara,JP,2022-01-16 21:52:59,24.8,125.2833,64.67,94,75,9.22
232,Cavalcante,BR,2022-01-16 21:53:00,-13.7975,-47.4583,71.49,76,21,2.17
233,Bansi,IN,2022-01-16 21:53:00,27.1833,82.9333,47.35,70,10,6.49
234,Acarau,BR,2022-01-16 21:53:01,-2.8856,-40.12,80.58,76,22,12.24
235,Pedernales,DO,2022-01-16 21:53:01,18.0384,-71.744,80.49,67,13,2.64
236,Qaqortoq,GL,2022-01-16 21:53:01,60.7167,-46.0333,26.17,78,100,8.32
237,Clifton Springs,AU,2022-01-16 21:53:02,-38.15,144.5667,67.68,76,100,8.99
